Date,Close_Prices,High_Prices,Low_Prices,Open_Prices,Volume,Symbol,sentiment
2025-01-15,164.38121032714844,167.40259248177114,163.20455806570718,165.52793390357482,3852400,APO,62.0,0.8978976607322693
2025-01-16,165.44815063476562,165.99658957377858,163.93246898932867,165.06922641955745,4209000,APO,61.0,0.9320924878120422
2025-01-16,165.44815063476562,165.99658957377858,163.93246898932867,165.06922641955745,4209000,APO,60.0,0.4358123242855072
2025-01-17,166.51512145996094,168.53934735479766,165.5378974162908,166.79432398232487,3580300,APO,58.0,0.746785044670105
2025-01-17,166.51512145996094,168.53934735479766,165.5378974162908,166.79432398232487,3580300,APO,59.0,0.92106693983078
2025-01-21,168.75872802734375,171.4410655398338,167.90117304982675,168.47952549656117,4107600,APO,56.0,0.8735990524291992
2025-01-22,168.419677734375,170.83280915142927,167.2230933257986,169.51655565121786,3202000,APO,55.0,0.921722948551178
2025-01-23,169.26727294921875,172.9966427910036,167.71171163816953,167.7216777230979,3264900,APO,54.0,0.9225943684577942
2025-01-24,171.57069396972656,171.77012216738217,168.77865355635947,169.02794260727802,2410600,APO,,0.9225943684577942
2025-01-27,166.7843475341797,168.76869393300274,163.43390195295,167.46242169064357,3299300,APO,,0.9225943684577942
2025-01-28,168.82852172851562,170.21456830309356,164.96953192193183,167.78150462618916,3672300,APO,53.0,0.8203364610671997
2025-01-29,170.61343383789062,171.7003304565017,168.12054330966544,168.97809825999076,2735100,APO,,0.8203364610671997
2025-01-30,171.27154541015625,172.89691490383242,168.39974586749804,172.30859639074097,2644700,APO,,0.8203364610671997
2025-01-31,170.49375915527344,174.41259084914407,170.13478232236463,172.18892161579993,2452000,APO,52.0,0.9448171257972716
2025-01-31,170.49375915527344,174.41259084914407,170.13478232236463,172.18892161579993,2452000,APO,51.0,0.6337830424308777
2025-01-31,170.49375915527344,174.41259084914407,170.13478232236463,172.18892161579993,2452000,APO,50.0,0.918899953365326
2025-01-31,170.49375915527344,174.41259084914407,170.13478232236463,172.18892161579993,2452000,APO,49.0,0.8872015476226807
2025-02-03,166.64474487304688,169.01798157769602,164.76012020035392,165.80713728860482,3257300,APO,47.0,0.9454997181892396
2025-02-03,166.64474487304688,169.01798157769602,164.76012020035392,165.80713728860482,3257300,APO,48.0,0.6972234845161438
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,44.0,0.9064471125602722
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,43.0,0.8887441158294678
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,42.0,0.9299830794334412
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,41.0,0.7213386297225952
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,40.0,0.9108505845069884
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,39.0,0.942411243915558
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,38.0,0.5546345710754395
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,37.0,0.8281270861625671
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,36.0,0.9682687520980836
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,45.0,0.9360594153404236
2025-02-04,162.12762451171875,168.84846284381217,160.60197672784324,163.55356580384463,5539400,APO,46.0,0.7385496497154236
2025-02-05,165.2786407470703,165.6974445267357,159.92391680265308,160.71166350872454,2844700,APO,32.0,0.6928770542144775
2025-02-05,165.2786407470703,165.6974445267357,159.92391680265308,160.71166350872454,2844700,APO,35.0,0.9461899399757384
