Datetime,Open_Prices,Low_Prices,High_Prices,Close_Prices,Volume
2025-01-30 13:30:00,238.44,238.44,239.67,239.25,3360211
2025-01-30 14:30:00,239.25,239.21,240.06,239.58,4798990
2025-01-30 15:30:00,239.58,237.13,239.86,238.55,9388563
2025-01-31 09:30:00,247.19,240.55,247.19,240.94,22640493
2025-01-31 10:30:00,240.91,238.59,241.43,238.95,10161171
2025-01-31 11:30:00,238.96,238.74,240.05,239.74,6223585
2025-01-31 12:30:00,239.74,236.22,239.81,236.43,7818438
2025-01-31 13:30:00,236.43,234.47,236.86,235.14,7380382
2025-01-31 14:30:00,235.16,233.44,235.28,234.29,7945862
2025-01-31 15:30:00,234.31,233.74,236.5,235.27,11052141
2025-02-03 09:30:00,229.99,226.64,231.83,229.26,18518971
2025-02-03 10:30:00,229.26,226.08,229.82,226.42,10350149
2025-02-03 11:30:00,226.41,225.7,227.13,226.37,7067817
2025-02-03 12:30:00,226.36,225.95,227.09,226.9,4952097
2025-02-03 13:30:00,226.91,226.89,228.85,228.47,5261670
2025-02-03 14:30:00,228.48,228.31,229.21,228.55,4498997
2025-02-03 15:30:00,228.57,227.63,228.97,228.45,7384992
2025-02-04 09:30:00,227.25,226.65,230.41,230.37,9178106
2025-02-04 10:30:00,230.38,230.12,231.55,231.05,5363231
2025-02-04 11:30:00,231.06,231.05,232.79,231.78,5207483
2025-02-04 12:30:00,231.79,231.39,232.38,232.22,3096300
2025-02-04 13:30:00,232.23,231.37,232.37,232.14,2285948
2025-02-04 14:30:00,232.14,232.13,232.95,232.31,3344935
2025-02-04 15:30:00,232.29,232.01,233.13,232.34,5314183
2025-02-05 09:30:00,228.53,228.27,230.62,229.5,8415436
2025-02-05 10:30:00,229.51,228.85,230.2,230.09,3447733
2025-02-05 11:30:00,230.1,229.99,231.28,230.69,2916059
2025-02-05 12:30:00,230.68,229.63,230.75,229.91,2376532
2025-02-05 13:30:00,229.9,229.71,231.53,230.65,3043256
2025-02-05 14:30:00,230.64,230.5,231.88,231.8,2871832
2025-02-05 15:30:00,231.79,230.5,233.0,232.13,3957343
2025-02-06 09:30:00,231.29,230.78,233.8,231.54,6655068
2025-02-06 10:30:00,231.59,230.43,232.33,231.52,3599669
2025-02-06 11:30:00,231.51,230.9,231.65,231.33,2212658
2025-02-06 12:30:00,231.33,231.03,232.34,232.19,2394286
2025-02-06 13:30:00,232.19,232.08,233.11,232.87,1818846
2025-02-06 14:30:00,232.89,231.9,232.89,232.28,2149562
2025-02-06 15:30:00,232.29,231.93,233.48,232.8,4565272
2025-02-07 09:30:00,232.6,229.88,234.0,230.36,7528111
2025-02-07 10:30:00,230.37,228.9,231.27,229.06,5665151
2025-02-07 11:30:00,229.09,228.2,229.42,228.4,3763519
2025-02-07 12:30:00,228.39,228.34,229.45,229.3,3721107
2025-02-07 13:30:00,229.3,227.82,229.5,227.88,2602651
2025-02-07 14:30:00,227.89,227.78,228.58,227.99,2965671
2025-02-07 15:30:00,227.99,227.26,228.15,227.88,5808521
2025-02-10 09:30:00,229.57,228.8,230.59,229.87,5967986
2025-02-10 10:30:00,229.89,228.74,229.91,229.36,3736912
2025-02-10 11:30:00,229.37,228.24,229.39,228.47,2474228
2025-02-10 12:30:00,228.47,228.37,228.88,228.47,2457762
2025-02-10 13:30:00,228.49,228.4,229.04,228.7,1724467
2025-02-10 14:30:00,228.7,227.6,228.84,227.69,2971264
2025-02-10 15:30:00,227.7,227.2,227.94,227.58,5218271
2025-02-11 09:30:00,228.2,228.13,233.49,233.34,12337516
2025-02-11 10:30:00,233.32,232.82,234.72,234.65,7044636
2025-02-11 11:30:00,234.66,233.72,235.23,234.57,5738887
2025-02-11 12:30:00,234.59,233.25,234.63,233.55,3043872
2025-02-11 13:30:00,233.56,233.13,234.19,233.37,2813543
2025-02-11 14:30:00,233.37,232.9,233.93,233.11,3713906
2025-02-11 15:30:00,233.11,232.15,233.3,232.51,5628042
2025-02-12 09:30:00,231.2,230.68,234.05,233.61,8556724
2025-02-12 10:30:00,233.6,233.58,235.14,235.07,5460489
2025-02-12 11:30:00,235.07,234.72,235.66,235.28,3522692
2025-02-12 12:30:00,235.27,234.86,235.89,235.48,2818689
2025-02-12 13:30:00,235.47,235.32,236.44,236.21,3036239
2025-02-12 14:30:00,236.21,236.07,236.66,236.47,3342869
2025-02-12 15:30:00,236.46,235.91,236.99,236.93,5607600
2025-02-13 09:30:00,236.91,235.57,239.0,237.88,8370576
2025-02-13 10:30:00,237.9,237.73,241.61,240.48,8942944
2025-02-13 11:30:00,240.49,239.82,240.84,240.35,3794337
2025-02-13 12:30:00,240.35,240.19,241.35,241.03,3188977
2025-02-13 13:30:00,241.04,237.0,242.07,241.77,3761918
2025-02-13 14:30:00,241.75,241.26,242.34,241.55,3704707
